ID,Pin Code,Name,Latitude,Longitude,Population,Area (km)
1,492004,Shankar Nagar,21.249373,81.6654295,19893,3.56
2,492007,Mowa,21.274871,81.6340548,26767,7.93
3,492001,Mahaveer Nagar,21.2268933,81.6630326,15246,3.97
4,492007,New Shanti Nagar,21.246982,81.6474888,5129,0.31
5,492101,Nardaha,21.293952,81.7392679,6575,14.15
6,492007,VIP Colony,21.2587129,81.6755054,5081,1.56
7,492001,New Rajendra Nagar,21.219273,81.6502237,13291,2.38
8,492001,LIC Colony,21.2652312,81.6712522,7129,0.68
9,492001,Pachpedi Naka,21.2157998,81.6476017,8608,1.82
10,492001,Budhapara,21.2335603,81.6298741,2727,0.73
11,492003,Gondwara,21.2835212,81.6024518,15729,2.57
12,492003,Birgoan,21.3095552,81.5854673,83394,16.22
13,492001,Shatabdi Nagar,21.2382298,81.662007,7225,0.52
14,492001,Byron Bazar,21.2339211,81.6397139,4026,0.5
15,492014,Shrinagar,21.2710197,81.619547,19839,2.75
16,492012,Kachana,21.2666015,81.6875068,2337,1.09
17,493225,Pacheda-1,21.314799,81.787518,2817,7.98
18,492001,Nayapara,21.2415248,81.6318479,2719,0.24
19,492001,RDA Colony,21.227519,81.6332869,4210,0.58
20,492001,Doongaji Colony,21.2418823,81.610633,1690,0.27
21,492001,Pandri,21.2547129,81.6425017,9419,1.18
22,492099,Tatibandh,21.2590702,81.5556516,22379,3.95
23,492014,Shivanand Nagar,21.2743984,81.6238153,4807,0.8
24,492001,DDU Nagar,21.2368959,81.5899098,6560,1.13
25,492001,Telibandha,21.2395153,81.6631268,6727,0.88
26,492101,Mandir Hasaud,21.2005224,81.7402792,6024,2.95
27,492015,Deopuri,21.2059087,81.6689705,8064,4.14
28,492015,Mujgahan,21.1580233,81.6559087,2471,3.73
29,492010,Sarona,21.2488454,81.5762127,31174,11.29
30,492001,Indravati Colony,21.2454932,81.646394,5099,0.65
31,492099,Harshit Nagar Road,21.2624286,81.5878875,3010,0.35
32,492001,Mathpurena,21.2088421,81.6279578,29703,6.11
33,492099,Heerapur,21.2684909,81.5900362,11854,2.68
34,492001,Samta Colony,21.2416029,81.6141249,9668,1.28
35,492001,Patel Para,21.2237438,81.6140237,9386,1.43
36,493111,Lalpur,21.2104252,81.660028,2309,0.62
37,492010,Amanaka,21.2442123,81.5860317,36546,7.78
38,492007,Shri Ram Nagar,21.2586153,81.6708452,2212,0.35
39,492015,Dumartarai,21.2134241,81.695205,4506,4.37
40,492001,Govind Nagar,21.253504,81.6485706,10552,1.2
41,492001,Bajinath Para,21.241765,81.6355463,1614,0.15
42,492001,Amlihdih,21.2209737,81.6704166,5877,2.17
43,492099,Kabir Nagar,21.2667265,81.5910031,12203,2.35
44,492001,Santoshi Nagar,21.2089362,81.6328607,8321,1.33
45,492099,Mohba Bazar,21.2602941,81.5858574,2130,0.47
46,492001,Civil Lines,21.2374818,81.6442937,26721,3.19
47,492009,Gudhiyari,21.2598993,81.6152394,11582,1.39
48,492001,Shailendra Nagar,21.2292076,81.6476581,3737,0.32
49,493111,Donde Khurd,21.3218706,81.7411412,4210,3.83
50,492003,Urkura,21.3084999,81.650322,4888,2.69
51,492006,Vishal Nagar,21.2340474,81.6743811,14172,3.82
52,492001,Tagore Nagar,21.2221519,81.6498482,4487,0.54
53,492007,Anupam Nagar,21.2568674,81.6602537,5266,0.79
54,492001,Jawahar Nagar,21.2468605,81.6257747,5159,0.55
55,492001,Janta Colony,21.2313649,81.6416452,17146,1.92
56,492001,Shyam Nagar,21.2327165,81.6566205,4075,0.48
57,492004,Sector-4,21.2592967,81.6432901,14368,1.86
58,492001,Jivan Vihar,21.243197,81.6748317,8034,2.17
59,492013,Sai Ssimran City,21.206631,81.6328341,3730,0.84
60,492014,Saddu,21.2614667,81.6444722,12097,5.83
61,492013,Sunder Nagar,21.2321092,81.6046544,4616,0.49
62,492004,Fafadih,21.2637659,81.6372446,9675,1.41
63,492009,Devendra Nagar,21.2555979,81.6424422,14368,1.86
64,492013,Changorabhata,21.2233437,81.5914707,34553,6.54
65,492014,Daldal Seoni,21.2764285,81.6596481,13353,8.65
66,492015,Dunda,21.1904814,81.6588405,5956,5.82
67,492013,Bhatagaon,21.2112218,81.6187605,16707,3.67
68,492099,Hirapur,21.2599473,81.5932531,11854,2.68
69,492002,Kota,21.2576266,81.5994103,29293,4.75
70,492009,Moudhapara,21.2503729,81.6295096,12605,1.79
71,492003,Urla,21.3100625,81.6136473,178593,42.13
72,492001,Tikrapara,21.2225205,81.6371775,11217,1.38
73,492014,Avani Vihar,21.2788718,81.6650871,4351,2.06
74,492015,Mana,21.2097361,81.6996301,14508,18.57
75,492001,Sadar Bazar,21.2371269,81.6289403,2176,0.24
76,492003,Bhanpuri,21.2987796,81.6506955,54117,11.1
77,492001,Lakhe Nagar,21.2321086,81.6170287,7986,1.03
78,492007,Rajeev Nagar,21.2600258,81.6620315,1035,0.17
79,492001,Purani Basti,21.2330134,81.6267831,4005,0.5
80,492015,"Swami Vivekananda International Airport, Raipur",21.2206049,81.6502067,42102,2.01
81,492101,"Sendh, Naya Raipur",21.198611,81.8050776,1782,4.23
82,492101,"Sector-24, Naya Raipur",21.1464307,81.7333332,10010,27.15
83,492101,"Sector-5, Naya Raipur",21.2101083,81.7879778,2319,6.25
84,492101,"Sector-7, Naya Raipur",21.193459,81.77382,1421,5.9
85,492101,"Sector-15, Naya Raipur",21.1805835,81.769078,2011,2.43
86,492101,"Sector-20, Naya Raipur",21.1673212,81.7764616,3210,2.22
87,492101,"Sector-21, Naya Raipur",21.1707798,81.7654404,2291,0.85
88,492101,"Sector-18, Naya Raipur",21.1706287,81.7997368,2315,1.37
89,492101,"Sector-19, Naya Raipur",21.1583684,81.7864945,1209,2.9
90,492101,"Sector-25, Naya Raipur",21.1471961,81.7862302,2709,0.61
91,492101,"Sector-27, Naya Raipur",21.1380331,81.7884021,13929,0.66
92,492101,"Sector-28, Naya Raipur",21.1387888,81.773108,3846,0.64
93,492101,"Sector-29, Naya Raipur",21.1355224,81.7841602,12197,0.58
94,492101,"Sector-26, Naya Raipur",21.1383238,81.7900186,2140,0.69
95,492101,"Uparwara, Naya Raipur",21.1190849,81.7452273,4494,13.39